Mach,Alpha,CD,CD power off,Cd power on,CA power off,CaA power on,CL,CN,CN Potential,CN Viscous,CNalpha(0 to 4 deg/ rad),CP,CP(0 to 4 deg),Reynolds Number 
2.3,0,0.76,0.76,0.702,0.76,0.702,0,0,0,0,12.787,166.194,158.186,"293,969,700"
2.31,0,0.758,0.758,0.7,0.758,0.7,0,0,0,0,12.756,166.07,158.105,"295,247,900"
2.32,0,0.756,0.756,0.698,0.756,0.698,0,0,0,0,12.726,165.945,158.024,"296,526,000"
2.33,0,0.754,0.754,0.696,0.754,0.696,0,0,0,0,12.695,165.82,157.942,"297,804,100"
2.34,0,0.752,0.752,0.694,0.752,0.694,0,0,0,0,12.664,165.694,157.86,"299,082,200"
2.35,0,0.751,0.751,0.692,0.751,0.692,0,0,0,0,12.634,165.568,157.777,"300,360,400"
2.36,0,0.749,0.749,0.69,0.749,0.69,0,0,0,0,12.603,165.442,157.694,"301,638,500"
2.37,0,0.747,0.747,0.688,0.747,0.688,0,0,0,0,12.573,165.315,157.611,"302,916,600"
2.38,0,0.745,0.745,0.686,0.745,0.686,0,0,0,0,12.542,165.188,157.527,"304,194,800"
2.39,0,0.743,0.743,0.684,0.743,0.684,0,0,0,0,12.511,165.06,157.443,"305,472,900"
2.4,0,0.741,0.741,0.682,0.741,0.682,0,0,0,0,12.481,164.932,157.358,"306,751,000"
2.41,0,0.74,0.74,0.68,0.74,0.68,0,0,0,0,12.45,164.803,157.274,"308,029,200"
2.42,0,0.738,0.738,0.678,0.738,0.678,0,0,0,0,12.42,164.674,157.189,"309,307,300"
2.43,0,0.736,0.736,0.677,0.736,0.677,0,0,0,0,12.389,164.545,157.103,"310,585,400"
2.44,0,0.734,0.734,0.675,0.734,0.675,0,0,0,0,12.359,164.415,157.018,"311,863,600"
2.45,0,0.733,0.733,0.673,0.733,0.673,0,0,0,0,12.329,164.285,156.932,"313,141,700"
2.46,0,0.731,0.731,0.671,0.731,0.671,0,0,0,0,12.298,164.155,156.846,"314,419,800"
2.47,0,0.729,0.729,0.67,0.729,0.67,0,0,0,0,12.268,164.024,156.759,"315,698,000"
2.48,0,0.727,0.727,0.668,0.727,0.668,0,0,0,0,12.238,163.893,156.673,"316,976,100"
2.49,0,0.726,0.726,0.667,0.726,0.667,0,0,0,0,12.208,163.762,156.586,"318,254,200"
